Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgzitCgjKP32DrcC3RF4AaABAg.99MxDN8D6G499NCN_yZ-ZW,@DataProfessor,UgzitCgjKP32DrcC3RF4AaABAg,2,TU3koPyFZfw,0,0,2020-06-01T17:51:06Z,Glad you enjoyed it Fahad!,2020-06-01T17:51:06Z
UgwCTlywfpMKL1ceTTV4AaABAg,@Mohamm-ed,,1,TU3koPyFZfw,1,1,2020-06-01T15:15:48Z,Really really you are helpful thanks Professor,2020-06-01T15:15:48Z
UgwCTlywfpMKL1ceTTV4AaABAg.99Mvb7Z_DGw99Mykr6vxj0,@DataProfessor,UgwCTlywfpMKL1ceTTV4AaABAg,2,TU3koPyFZfw,0,1,2020-06-01T15:43:21Z,You are welcome. Glad you find it helpful.,2020-06-01T15:43:21Z
Ugz301UmnNv7q7r_RSR4AaABAg,@AshishMahato,,1,TU3koPyFZfw,3,4,2020-06-01T11:25:04Z,"Hello Professor, I am an Industrial Engineer. I had been searching for data science from quite a long time, I even subscribed to Udemy courses, but I didn&#39;t get a proper idea what we could do with data science, watching your videos now I know what exactly is data science.. Thank You..",2020-06-01T11:25:04Z
Ugz301UmnNv7q7r_RSR4AaABAg.99MWC8HU85R99M_HF36jLG,@DataProfessor,Ugz301UmnNv7q7r_RSR4AaABAg,2,TU3koPyFZfw,0,0,2020-06-01T12:00:43Z,"Hi Ashish, thanks for your kind words, I am glad that the video contents here was useful in your understanding of data science. 😃",2020-06-01T12:00:43Z
Ugz301UmnNv7q7r_RSR4AaABAg.99MWC8HU85R99McelpBmu3,@AshishMahato,Ugz301UmnNv7q7r_RSR4AaABAg,2,TU3koPyFZfw,0,2,2020-06-01T12:30:16Z,"@@DataProfessor Could You please make a video or suggest some materials on how Amazon, Facebook, Google etc. use Data Analysis in their business...it will be helpful for the general viewers..",2020-06-01T12:30:16Z
Ugz301UmnNv7q7r_RSR4AaABAg.99MWC8HU85R99MgIuDVlt-,@DataProfessor,Ugz301UmnNv7q7r_RSR4AaABAg,2,TU3koPyFZfw,0,1,2020-06-01T13:02:06Z,"@@AshishMahato Thanks for the suggestion, I&#39;ll see what I can do.",2020-06-01T13:02:06Z
UgzehYwjNpwX7tqwHZN4AaABAg,@anirudhreddy8985,,1,TU3koPyFZfw,1,1,2020-06-01T07:19:50Z,Thank you sir 🙏,2020-06-01T07:19:50Z
UgzehYwjNpwX7tqwHZN4AaABAg.99M47z7nnVL99ML1pOFx2b,@DataProfessor,UgzehYwjNpwX7tqwHZN4AaABAg,2,TU3koPyFZfw,0,0,2020-06-01T09:47:32Z,Thanks for watching!,2020-06-01T09:47:32Z
UgyNL68gd_6IU5JAXeZ4AaABAg,@RodStremel,,1,TU3koPyFZfw,0,1,2020-06-01T03:11:09Z,This is super cool!,2020-06-01T03:11:09Z
UgzkJeOT5-Iml42Ov-t4AaABAg,@VictorBanerjeeF,,1,TU3koPyFZfw,1,1,2020-06-01T03:09:17Z,This video Make my morning coffee  awesome 👌,2020-06-01T03:09:17Z
UgzkJeOT5-Iml42Ov-t4AaABAg.99LcSsqWjno99Lrihss7BT,@DataProfessor,UgzkJeOT5-Iml42Ov-t4AaABAg,2,TU3koPyFZfw,0,1,2020-06-01T05:22:39Z,Thanks Victor for the kind words! Greatly appreciated it 😃,2020-06-01T05:22:39Z
UgzNaSzuqlyVyXtzIo54AaABAg,@aliqaitoon9965,,1,TU3koPyFZfw,1,1,2020-06-01T03:06:02Z,Thanks. Great lecture,2020-06-01T03:06:02Z
UgzNaSzuqlyVyXtzIo54AaABAg.99Lc52VTT4I99LtZi3qAID,@DataProfessor,UgzNaSzuqlyVyXtzIo54AaABAg,2,TU3koPyFZfw,0,0,2020-06-01T05:38:45Z,"A pleasure, thanks for the kind words!",2020-06-01T05:38:45Z
Ugx3TT_XM2IPi66AGKZ4AaABAg,@muhammadjamalahmed8664,,1,TU3koPyFZfw,1,1,2020-06-01T02:43:53Z,Found very useful..,2020-06-01T02:43:53Z
Ugx3TT_XM2IPi66AGKZ4AaABAg.99L_YrXK2gV99LtaktMOXK,@DataProfessor,Ugx3TT_XM2IPi66AGKZ4AaABAg,2,TU3koPyFZfw,0,0,2020-06-01T05:39:02Z,Thanks for watching!,2020-06-01T05:39:02Z
UgxfMp7oLKhf14IYfO54AaABAg,@ImportData1,,1,TU3koPyFZfw,1,7,2020-06-01T02:41:07Z,This is awesome! I&#39;ve always thought it would be cool to look at the code and the research paper at the same time. Thank you for sharing this!!,2020-06-01T02:41:07Z
UgxfMp7oLKhf14IYfO54AaABAg.99L_EYj-lGV99LtAO8W7yN,@DataProfessor,UgxfMp7oLKhf14IYfO54AaABAg,2,TU3koPyFZfw,0,1,2020-06-01T05:35:18Z,"Yes indeed, it’s a great way to learn data science!",2020-06-01T05:35:18Z
UgwSVZWC8oVNTtad9xB4AaABAg,@KenJee_ds,,1,TU3koPyFZfw,3,15,2020-06-01T02:33:45Z,Very useful stuff! The key is in the code!,2020-06-01T02:33:45Z
