,video_id,video_title,upload_date,view_count,like_count,comment_count
22,6MPysOMATPY,Live Winners  Top 20 Submissions Announcement | Telangana Government Insights | RPC#7 | Q  A,2023-11-11,3197,108,7
23,oFvhL9zrdTs,Diwali Surprise at Codebasics!,2023-11-10,4868,124,4
24,Uw53Yo93fMA,Data Science Resume Project Using OpenAI: Financial Data Extraction Tool #codebasics #dataanalytics,2023-11-09,7174,719,3
25,1yKHpzbhfTc,Expectations vs. Reality! 🥹😔,2023-11-08,3486,100,8
26,vbvrX5yPEgk,Evolution 🐒of Business Intelligencework👨‍💻! 📈#codebasics #shorts #dataanalysis #data #datascience,2023-11-07,3700,194,5
27,9IgyK38QMA8,🚫STOP DOING THIS!🚫,2023-11-06,4687,186,12
28,el7gXhISEcs,Can I Become Data Analyst in 3 Days?,2023-11-05,6130,237,6
29,iJvs6NVQrvk,📊Data Analytics Project Idea: HR Analytics #codebasics #shorts #dataanalysis #data #dataanalytics,2023-11-04,9921,908,3
30,CwEYZ-RJi0s,🌟✅I will hire a person with career break if…! #codebasics #shorts #dataanalysis #data #datascience,2023-11-03,5130,644,12
31,s9XgJvyU_MQ,Any guesses? Comment below👇,2023-11-02,4204,142,15
32,ge9zJTiUjZA,70 HOURS WORK WEEK! 🤯#codebasics #dataanalyst #datascientist #work #corporate,2023-11-01,16515,826,23
33,_Utd1QmxYlU,6️⃣ Data Analyst Stones!💎#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-31,5929,313,27
34,C3FRtYN8lGI,Hidden👀 Skills of a Highly Paid Data Analyst!💰#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-30,5419,412,9
35,eeNq4VpBezs,🌟Data Science Resume Project: Bangalore Property Price Prediction! #codebasics #shorts #data,2023-10-29,10783,1277,6
36,D3vmofMmFBg,🌟Most important skill for a Data Analyst!🌟#codebasics #shorts #dataanalysis #data #datascience,2023-10-28,5132,162,11
37,blZbbrQpP84,6 Websites for Data Projects! 🌟📈#codebasics #shorts #dataanalysis #data #datascience,2023-10-27,10551,1436,5
38,0rlvVn5R2P4,✅This is how you get to TOP 10%📈 of data aspirants!🤩#codebasics #shorts #dataanalysis #data,2023-10-26,4648,356,2
39,l9DPw0ESQ1Q,✅Single tip to RISE 📈 in your DATA CAREER!🤩#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-25,8490,474,9
40,SzKZUlf8sm0,✨A BIG ANNOUNCEMENT✨,2023-10-24,6916,270,22
41,VCocqboGRo4,✅One Key Difference Between Average  Great Data Analyst! #codebasics #shorts,2023-10-23,15373,761,4
42,5v402p6ydjw,Super Effective Way to Build Soft Skills! 🦸🤩#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-22,5390,473,1
43,oYtm5j63MlY,Is Data Analyst a Right Career For me?! 🤔😕#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-21,9382,1052,16
44,dPCO4obi158,Crack FAANG interview using this.! 🛜👨‍💻#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-20,9825,1123,16
45,iBB9hAW9Nis,15 Resources to Improve Your Domain Knowledge! 📈#codebasics #shorts #dataanalysis #data #datascience,2023-10-19,5245,555,17
46,WcxvKYknRU0,DO NOT WORK HARD!✋🚫 #codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-18,5488,295,2
47,EaGA9eZW1aI,8 Projects for Your Data Analyst Resume! 📽️🤩#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-17,13671,1861,6
48,YhiiJ3vWG-s,Top KPIs for Data Analyst Career! 📈🤩#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-16,8572,844,6
49,2CY-Fxkdny8,How to get interview calls! 📞😉#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-15,7247,746,3
50,qpkYgvSmDmw,The Only Math needed for a Data Analyst role! #codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-13,10321,1114,12
51,p_LdvnTUtvM,Do this thing to get a tech job! 🤩#codebasics #shorts #dataanalysis #data #dataanalytics,2023-10-12,4771,321,0
52,8ju3scaaUi8,DO NOT REPEAT THIS MISTAKE! ⚠ (for data aspirants)#codebasics #shorts #dataanalysis #data,2023-10-11,6166,340,2
53,FzGoNV_zKoM,Becoming data analyst after age 35! 😲🤔#codebasics #shorts #dataanalysis #data,2023-10-10,6572,409,13
54,NNFZ8uuvmUQ,Data Visualization Tip: Include Context 📊 #codebasics #shorts #dataanalysis #data,2023-10-09,2695,148,2
55,SAZPPitf_QY,7 Career Roles with Python! 🐍 #codebasics #shorts #dataanalysis #data,2023-10-07,8117,779,3
56,s6lRU0nn_nw,Data Visualization Tip: Pie Chart vs Bar Chart 💡📊 #codebasics #shorts #dataanalysis #data,2023-10-05,7286,566,6
57,iKkod8gj9bs,Single Tip 💡 For Exponential Career Growth📈#codebasics #shorts #dataanalysis #data,2023-10-03,6915,583,5
58,ROcFzxXm6hE,Health Struggle 👨‍⚕️ Helped me Grow my YouTube Channel🎥 📈#codebasics #shorts #dataanalysis #data,2023-10-02,20140,1917,61
59,nF-em83yyK4,Future of Data Analytics belong to those.... #codebasics #shorts #dataanalysis #data,2023-10-01,15324,1118,12
60,6ZXHNuwAnPw,Never ask this question to anyone! 🤫❌#codebasics #shorts #dataanalysis #data,2023-09-30,16407,830,8
61,20US5sfG-j8,Now ChatGPT can Read and Hear!!! 🤩🫡#codebasics #shorts #dataanalysis #data,2023-09-29,17352,595,5
62,otdiLsyzv90,Omdena can help you get an Interview Call! 📞🤩#codebasics #shorts #dataanalysis #data,2023-09-28,19451,2337,20
63,mR2Q-zm3PR4,5 🌟Non-Tech to Tech🌟Data Transition Stories! ✅#codebasics #shorts #dataanalysis #data,2023-09-27,6425,521,6
64,ahPqEh-F3Vo,Not getting interview call?😕💡 #codebasics #shorts #dataanalysis #data,2023-09-26,4593,200,2
65,s-vNTTr_jFI,Data Visualization Tip: Ribbon Chart 💡📊 #codebasics #shorts #dataanalysis #data,2023-09-25,7987,551,4
66,huWr4E88ZoI,8 Portals for Datasets🤯#codebasics #shorts #dataanalysis #data,2023-09-24,14993,2393,13
67,k1Zkg4uwlIc,Functional Dashboard🌹 vs. Fancy Dashboard📊? #codebasics #shorts #dataanalysis #data,2023-09-23,14556,849,3
68,px0Oz0nRz4c,He cracked 10 Interviews..! 🤯#codebasics #shorts #dataanalysis #data,2023-09-21,27201,1961,18
69,E-ech-D96V4,Data Visualization Tip: Start with 0 💡 #codebasics #shorts #dataanalysis #data,2023-09-20,14086,1107,6
70,S6CauisUELY,Mom with 6 Years Career Break! 🤯#codebasics #shorts #dataanalysis #data,2023-09-19,6819,325,10
71,53nrpoqMpbw,Use this tip to learn anything fast! ⚡💡#codebasics #shorts #dataanalysis #data,2023-09-18,9136,731,12
72,z4PkyYd7FUI,6 Ways to SPEED UP Python Program! 🏎💨#codebasics #shorts #dataanalysis #data,2023-09-17,11810,1137,1
73,vk1B1TmTmqg,Not Getting an Interview Call?😕 #codebasics #shorts #dataanalysis #data,2023-09-16,13192,1294,14
74,kfjH9nHve-8,This Attitude YOU NEED in Data Field! 📈✅ #codebasics #shorts #dataanalysis #data,2023-09-15,51190,3044,33
75,IoHEuhPPwRA,Art of Asking Questions!🎨💡 #codebasics #shorts #dataanalysis #data,2023-09-14,10387,537,7
